s:	0	15.41	148.55	0	
s:	1	18.91	144.05	0	
s:	2	26.41	137.55	0	
s:	3	13.91	151.05	0	
s:	4	17.41	146.55	1	
s:	5	11.91	146.05	0	
s:	6	20.41	145.05	1	
s:	7	11.41	146.55	0	
s:	8	18.91	141.05	0	
s:	9	11.91	146.55	1	
s:	10	23.41	138.55	0	
s:	11	19.41	145.05	0	
a:	103	23	0	6.26	Subterranea	
a:	103	50	0	6.26	Aerea	
a:	103	63	0	6.26	Aerea	
a:	103	66	0	6.26	Subterranea	
a:	103	88	0	6.26	Subterranea	
a:	103	94	0	6.26	Subterranea	
a:	103	97	0	6.26	Subterranea	
a:	103	99	0	6.26	Aerea	
a:	103	105	0	6.5	Aerea	
a:	103	106	0	5.7	Subterranea	
a:	103	112	0	8.06	Aerea	
a:	103	34	0	6.08	Aerea	
a:	103	54	0	7.76	Subterranea	
a:	103	20	0	3.61	Aerea	
a:	103	115	0	6.26	Subterranea	
a:	104	2	0	21.36	Aerea	
a:	104	21	1	21.36	Subterranea	
a:	104	24	0	21.36	Subterranea	
a:	104	29	1	21.36	Subterranea	
a:	104	30	0	21.36	Aerea	
a:	104	37	0	21.36	Subterranea	
a:	104	52	0	21.36	Aerea	
a:	104	62	1	21.36	Aerea	
a:	104	67	1	21.36	Subterranea	
a:	104	82	1	21.36	Aerea	
a:	104	95	0	21.36	Aerea	
a:	104	113	0	19.24	Subterranea	
a:	104	22	0	18.58	Aerea	
a:	104	116	1	19.01	Subterranea	
a:	104	27	0	17.67	Subterranea	
a:	104	108	1	24.52	Aerea	
a:	104	10	0	16.55	Subterranea	
a:	105	0	0	6.5	Aerea	
a:	105	3	0	6.5	Subterranea	
a:	105	23	0	6.5	Aerea	
a:	105	34	0	6.5	Subterranea	
a:	105	50	0	6.5	Aerea	
a:	105	54	0	6.5	Subterranea	
a:	105	63	0	6.5	Aerea	
a:	105	66	0	6.5	Aerea	
a:	105	103	0	6.5	Aerea	
a:	105	106	0	5.7	Aerea	
a:	105	112	0	8.06	Subterranea	
a:	105	68	0	7.57	Subterranea	
a:	105	118	0	8.86	Aerea	
a:	105	115	0	4.53	Subterranea	
a:	105	99	0	4.3	Subterranea	
a:	106	0	0	5.7	Aerea	
a:	106	5	0	5.7	Aerea	
a:	106	7	0	5.7	Subterranea	
a:	106	9	0	5.7	Aerea	
a:	106	23	0	5.7	Aerea	
a:	106	32	0	5.7	Subterranea	
a:	106	34	0	5.7	Aerea	
a:	106	63	0	5.7	Aerea	
a:	106	66	0	5.7	Aerea	
a:	106	85	0	5.7	Subterranea	
a:	106	99	0	5.7	Aerea	
a:	106	103	0	5.7	Subterranea	
a:	106	105	0	5.7	Aerea	
a:	106	115	0	4.53	Subterranea	
a:	106	54	0	7.76	Subterranea	
a:	106	68	0	7.57	Aerea	
a:	106	50	0	7.38	Aerea	
a:	106	83	0	7.5	Aerea	
a:	106	45	0	5.59	Aerea	
a:	106	112	0	5.7	Aerea	
a:	107	14	0	8.06	Subterranea	
a:	107	36	0	8.06	Aerea	
a:	107	40	0	8.06	Subterranea	
a:	107	43	0	8.06	Aerea	
a:	107	69	0	8.06	Subterranea	
a:	107	75	0	8.06	Subterranea	
a:	107	79	0	8.06	Subterranea	
a:	107	38	0	5.02	Subterranea	
a:	107	61	0	4.03	Aerea	
a:	107	39	0	3.54	Subterranea	
a:	107	89	0	3.61	Aerea	
a:	107	72	0	5.59	Aerea	
a:	107	86	0	2.83	Subterranea	
a:	108	24	0	24.52	Aerea	
a:	108	29	1	24.52	Subterranea	
a:	108	67	1	24.52	Subterranea	
a:	108	95	0	24.52	Subterranea	
a:	108	104	1	24.52	Aerea	
a:	108	21	1	21.98	Aerea	
a:	108	62	1	22.3	Subterranea	
a:	108	82	1	21.48	Aerea	
a:	108	2	0	19.7	Aerea	
a:	108	52	0	21.91	Aerea	
a:	108	113	0	19.24	Subterranea	
a:	109	44	0	7.57	Subterranea	
a:	109	45	1	7.57	Aerea	
a:	109	64	1	7.57	Aerea	
a:	109	68	0	7.57	Aerea	
a:	109	80	0	7.57	Subterranea	
a:	109	83	0	7.57	Aerea	
a:	109	84	0	7.57	Subterranea	
a:	109	92	0	7.57	Subterranea	
a:	109	93	1	7.57	Subterranea	
a:	109	96	0	7.57	Aerea	
a:	109	28	1	9.51	Aerea	
a:	109	114	1	9.5	Aerea	
a:	109	17	0	9.51	Subterranea	
a:	109	34	0	6.08	Aerea	
a:	109	4	1	9.06	Aerea	
a:	109	87	1	8.63	Subterranea	
a:	110	1	0	11.67	Aerea	
a:	110	6	0	11.67	Subterranea	
a:	110	11	0	11.67	Subterranea	
a:	110	19	0	11.67	Subterranea	
a:	110	56	0	11.67	Subterranea	
a:	110	57	0	11.67	Aerea	
a:	110	58	0	11.67	Aerea	
a:	110	59	0	11.67	Subterranea	
a:	110	60	0	11.67	Subterranea	
a:	110	70	0	11.67	Subterranea	
a:	110	76	0	11.67	Aerea	
a:	110	93	0	11.67	Aerea	
a:	110	98	0	11.67	Aerea	
a:	110	25	0	13.12	Subterranea	
a:	110	28	0	9.51	Subterranea	
a:	110	41	0	12.82	Subterranea	
a:	110	96	0	9.34	Aerea	
a:	110	8	0	11.42	Aerea	
a:	110	114	0	9.5	Aerea	
a:	111	48	0	14.01	Subterranea	
a:	111	71	0	14.01	Aerea	
a:	111	77	0	14.01	Subterranea	
a:	111	101	0	14.01	Aerea	
a:	111	102	0	14.01	Subterranea	
a:	111	78	0	12.3	Subterranea	
a:	111	55	0	11.85	Subterranea	
a:	111	90	0	13.46	Subterranea	
a:	111	35	0	10.82	Aerea	
a:	111	49	0	11.18	Aerea	
a:	111	41	0	12.82	Aerea	
a:	111	116	0	14.01	Subterranea	
a:	112	0	0	8.06	Subterranea	
a:	112	3	0	8.06	Subterranea	
a:	112	50	0	8.06	Aerea	
a:	112	63	1	8.06	Aerea	
a:	112	94	0	8.06	Subterranea	
a:	112	97	0	8.06	Aerea	
a:	112	103	0	8.06	Aerea	
a:	112	105	0	8.06	Subterranea	
a:	112	54	1	7.76	Subterranea	
a:	112	118	0	8.86	Aerea	
a:	112	23	1	6.04	Aerea	
a:	112	106	0	5.7	Aerea	
a:	112	87	1	8.63	Subterranea	
a:	112	68	0	7.57	Aerea	
a:	113	2	0	19.24	Subterranea	
a:	113	10	0	19.24	Subterranea	
a:	113	22	0	19.24	Aerea	
a:	113	27	0	19.24	Subterranea	
a:	113	30	0	19.24	Subterranea	
a:	113	37	0	19.24	Subterranea	
a:	113	52	0	19.24	Aerea	
a:	113	62	0	19.24	Aerea	
a:	113	67	0	19.24	Aerea	
a:	113	82	0	19.24	Subterranea	
a:	113	95	0	19.24	Subterranea	
a:	113	102	0	19.24	Subterranea	
a:	113	104	0	19.24	Subterranea	
a:	113	108	0	19.24	Subterranea	
a:	113	116	0	19.01	Aerea	
a:	113	33	0	16.35	Aerea	
a:	113	101	0	17.33	Subterranea	
a:	113	21	0	21.98	Aerea	
a:	113	47	0	15.04	Aerea	
a:	113	100	0	14.4	Subterranea	
a:	114	4	1	9.5	Subterranea	
a:	114	6	1	9.5	Subterranea	
a:	114	11	0	9.5	Subterranea	
a:	114	16	0	9.5	Aerea	
a:	114	17	0	9.5	Subterranea	
a:	114	28	1	9.5	Aerea	
a:	114	59	0	9.5	Subterranea	
a:	114	76	1	9.5	Subterranea	
a:	114	80	0	9.5	Aerea	
a:	114	83	0	9.5	Aerea	
a:	114	87	1	9.5	Subterranea	
a:	114	91	1	9.5	Aerea	
a:	114	92	0	9.5	Aerea	
a:	114	93	1	9.5	Aerea	
a:	114	109	1	9.5	Aerea	
a:	114	110	0	9.5	Aerea	
a:	114	1	0	10.61	Aerea	
a:	114	68	0	7.57	Subterranea	
a:	114	56	0	10.69	Aerea	
a:	114	96	0	9.34	Aerea	
a:	114	118	0	8.86	Aerea	
a:	114	54	1	7.76	Subterranea	
a:	115	5	0	4.53	Aerea	
a:	115	7	0	4.53	Aerea	
a:	115	9	1	4.53	Subterranea	
a:	115	32	1	4.53	Aerea	
a:	115	34	0	4.53	Subterranea	
a:	115	42	0	4.53	Subterranea	
a:	115	45	1	4.53	Subterranea	
a:	115	73	1	4.53	Aerea	
a:	115	85	1	4.53	Subterranea	
a:	115	88	0	4.53	Aerea	
a:	115	99	0	4.53	Subterranea	
a:	115	105	0	4.53	Subterranea	
a:	115	106	0	4.53	Subterranea	
a:	115	66	0	4.72	Aerea	
a:	115	20	0	3.61	Subterranea	
a:	115	23	1	6.04	Aerea	
a:	115	103	0	6.26	Subterranea	
a:	115	63	1	6.71	Subterranea	
a:	115	68	0	7.57	Subterranea	
a:	116	2	0	19.01	Subterranea	
a:	116	10	0	19.01	Subterranea	
a:	116	22	0	19.01	Aerea	
a:	116	27	0	19.01	Subterranea	
a:	116	30	0	19.01	Aerea	
a:	116	33	0	19.01	Aerea	
a:	116	37	0	19.01	Subterranea	
a:	116	52	0	19.01	Aerea	
a:	116	82	1	19.01	Aerea	
a:	116	101	0	19.01	Aerea	
a:	116	102	0	19.01	Subterranea	
a:	116	104	1	19.01	Subterranea	
a:	116	113	0	19.01	Aerea	
a:	116	62	1	22.3	Subterranea	
a:	116	47	0	15.04	Subterranea	
a:	116	21	1	21.98	Subterranea	
a:	116	100	0	14.4	Aerea	
a:	116	48	0	14.15	Subterranea	
a:	116	111	0	14.01	Subterranea	
a:	116	90	1	5.7	Aerea	
a:	117	3	0	5.15	Aerea	
a:	117	46	0	5.15	Aerea	
a:	117	53	1	5.15	Subterranea	
a:	117	72	1	5.15	Subterranea	
a:	117	73	1	5.15	Subterranea	
a:	117	74	1	5.15	Aerea	
a:	117	81	1	5.15	Aerea	
a:	117	88	0	5.15	Aerea	
a:	117	97	0	5.15	Aerea	
a:	117	99	0	5.15	Subterranea	
a:	117	66	0	4.72	Subterranea	
a:	117	20	0	3.61	Subterranea	
a:	117	42	0	2.92	Aerea	
a:	117	94	0	7.43	Subterranea	
a:	117	38	1	5.02	Aerea	
a:	117	61	0	4.03	Aerea	
a:	118	0	0	8.86	Subterranea	
a:	118	4	0	8.86	Aerea	
a:	118	13	0	8.86	Subterranea	
a:	118	54	0	8.86	Aerea	
a:	118	68	0	8.86	Aerea	
a:	118	87	0	8.86	Subterranea	
a:	118	91	0	8.86	Aerea	
a:	118	105	0	8.86	Aerea	
a:	118	112	0	8.86	Aerea	
a:	118	114	0	8.86	Aerea	
a:	118	50	0	7.38	Aerea	
a:	118	17	0	9.51	Subterranea	
a:	118	63	0	6.71	Subterranea	
a:	118	92	0	9	Subterranea	
a:	118	83	0	7.5	Subterranea	
a:	118	16	0	11.1	Subterranea	
a:	119	26	1	0	Subterranea	
a:	119	31	0	0	Aerea	
a:	119	86	0	0	Aerea	
a:	119	89	1	0	Subterranea	
a:	119	42	0	2.92	Subterranea	
a:	119	7	0	3.16	Aerea	
a:	119	85	1	3.54	Subterranea	
a:	119	73	1	3.54	Subterranea	
a:	119	5	0	3.54	Subterranea	
a:	119	39	0	3.54	Aerea	
